id_micro,f_2,f_3,"M1,1","M1,2","M1,3","M1,4","M1,5","M1,6","M2,2","M2,3","M2,4","M2,5","M2,6","M3,3","M3,4","M3,5","M3,6","M4,4","M4,5","M4,6","M5,5","M5,6","M6,6",last_sigma
17_100_1e-05_50_4_6,0.07232,0.11552,0.0001192042885867,4.6200519542381e-05,0.0001184679111743,4.5967084792953e-05,4.61925618475877e-05,0.0001159665965155,2.65232559728185e-07,3.11812074177748e-07,6.00150355203416e-07,3.46956078119632e-05,5.86024897372952e-07,2.37593596632977e-07,8.17165151545857e-07,2.38909930786665e-07,3.46143242159474e-05,9.92547269474791e-07,9.6511298819639e-07,3.62921171596209e-07,2.0858502335952e-07,1.70290160069821e-07,3.46570990752847e-05,-0.0022668166914928
18_100_1e-05_50_4_6,0.064278,0.075971,0.0001346367713897,5.46983973175575e-05,0.0001328874774875,5.2826724282546e-05,5.28710213265004e-05,0.0001262584195739,9.58547065133305e-08,3.56814324069023e-07,3.92797630824852e-07,3.79928896904478e-05,-3.81622339804334e-07,-1.33879042578172e-07,-2.95404991072468e-07,6.79296978945387e-08,3.80520849098323e-05,1.57187147779403e-07,2.28877976624175e-07,1.21145461491021e-07,-8.25683328898535e-08,3.63548843831811e-08,3.94575449999019e-05,-0.0030305979964788
19_100_1e-05_50_4_6,0.091377,0.127721,0.0001171630515636,4.62976437262779e-05,0.0001193070593794,4.49035345417344e-05,4.43642447532891e-05,0.0001127210900373,-7.97062277677688e-08,-1.650457143436e-07,-5.50441114027068e-07,3.28726679216822e-05,3.13672852503432e-07,2.15082316591459e-07,3.21291656628193e-08,-2.1254978675153e-07,3.3877661166349e-05,-2.04003363833814e-07,-5.72109180464571e-08,-1.79203929870604e-07,3.56325890393297e-07,-3.95371132878218e-08,3.49623470915371e-05,-0.002612264354858
20_100_1e-05_50_4_6,0.053305,0.141268,0.0001169131130681,4.53961695652073e-05,0.000114287833506,4.29314453348247e-05,4.18144092756213e-05,0.0001037439825884,1.58075325783148e-07,1.21363179929392e-07,1.73944319078367e-07,3.10888144613496e-05,-7.32645832838998e-07,-5.42521555801265e-07,-3.82012929545806e-07,-1.19659802438974e-07,3.24423948383688e-05,-1.03319737512738e-07,2.03923983081228e-07,-4.1543049314745e-08,-5.08103767223148e-07,6.45025273569602e-08,3.47088501241915e-05,-0.00263303390296
21_100_1e-05_50_4_6,0.094785,0.101353,0.0001278861185502,5.13913434001671e-05,0.0001269764388146,5.00611401085404e-05,4.98407369221942e-05,0.0001205516199177,1.04587088521335e-07,2.67169400833489e-07,1.75166888562233e-07,3.65223153778828e-05,4.59527046926886e-07,2.40058607067754e-07,4.11499062386406e-07,-2.170081715782e-07,3.67520573716415e-05,-1.93588594136651e-07,-3.51304969553552e-07,-2.06364725170082e-07,1.95456254361523e-07,8.59263217958625e-08,3.76828448426261e-05,-0.002740136006177
22_100_1e-05_50_4_6,0.05979,0.108839,0.0001233748397538,4.9043583258132e-05,0.0001217709479873,4.71752375399619e-05,4.73575263906326e-05,0.0001163137750934,-2.6268099721345e-07,-4.58153822964894e-07,-7.85202550928483e-07,3.5054176258619e-05,-1.17393615173123e-07,-1.99255252613778e-07,2.70166665564324e-07,-3.60968293746774e-07,3.49292445650991e-05,-6.58738348176854e-07,-5.85267437983231e-07,-4.16555602031645e-07,-1.82683621519943e-07,-1.49746316252737e-07,3.65384609103671e-05,-0.0024999117739901
23_100_1e-05_50_4_6,0.070251,0.102329,0.00012643088239,5.07370027637874e-05,0.0001252647594691,4.91044308612249e-05,4.91453855727083e-05,0.0001180261896862,2.70590712080764e-07,1.58005905958916e-07,1.04141341503108e-08,3.62068812525786e-05,-7.04885544789874e-07,-3.07849058901931e-07,-7.41241045868724e-07,-5.35232691593753e-09,3.62434510454754e-05,1.42715269543914e-07,3.83283734129556e-07,2.5032955848149e-09,-1.85605641101912e-07,2.84809665228483e-07,3.73620868503816e-05,-0.0028114194472696
24_100_1e-05_50_4_6,0.070844,0.149455,0.0001140171671556,4.39393225070226e-05,0.0001133605388826,4.23042031334295e-05,4.12614400946606e-05,0.0001012860010196,-1.81372889869923e-07,-5.62320811617475e-07,-1.00475765570362e-06,3.14365038016641e-05,1.00661485823329e-06,3.3845670066739e-07,8.21833312046206e-07,6.54219272254426e-08,3.26996091617749e-05,3.30259007673207e-07,2.58782500837798e-07,1.58195823522838e-07,1.79970310319262e-07,-8.68880963451408e-08,3.34842276032059e-05,-0.0022813657263393
25_100_1e-05_50_4_6,0.069109,0.096396,0.0001285054635566,5.0951686858706e-05,0.0001254498055652,4.87335925122982e-05,4.78585996625e-05,0.0001160894039273,1.52069931307714e-08,1.15127624211206e-07,5.292345521362e-07,3.54813883545252e-05,-4.16021445036558e-07,-2.97489571391762e-07,-2.09751947806212e-07,1.77078975416819e-07,3.63154348992371e-05,-2.61669118020463e-07,-2.08277954033403e-07,1.4016228936133e-07,-2.214788382473e-07,-1.02649999096501e-07,3.78771309280867e-05,-0.0028511740098836
26_100_1e-05_50_4_6,0.071363,0.07781,0.0001334260472345,5.39573516154484e-05,0.0001323632556479,5.30973652240957e-05,5.27955573182e-05,0.0001264283193016,-2.04284670431612e-07,-5.00276419831427e-07,-3.22505562289252e-07,3.80779837928452e-05,-2.21750628862792e-07,-3.01841465340601e-07,-2.63547466859709e-07,-3.87097550436992e-08,3.84616632618488e-05,1.56944637470745e-07,1.22243711240422e-07,-4.20356264297827e-08,-2.87410052591866e-07,-1.65749594484822e-07,3.89344499534375e-05,-0.0029472895077877
27_100_1e-05_50_4_6,0.054591,0.140467,0.0001155469834832,4.59478240569416e-05,0.0001126284828298,4.39426635276153e-05,4.33929052647643e-05,0.0001090547368279,2.03784737576293e-07,1.32985555330883e-07,5.72245497724024e-07,3.2373494227213e-05,2.02785874921406e-07,-2.57472753347107e-08,2.75973862090479e-07,3.6721225159329e-07,3.31418064252489e-05,1.67130344363318e-07,1.48716863027155e-07,3.56722091491186e-07,1.3982871322475502e-09,2.11688579388362e-07,3.48784274099609e-05,-0.0025623303219593
28_100_1e-05_50_4_6,0.059407,0.100802,0.0001282287212994,5.1314898587511e-05,0.0001258279410411,4.90008532577576e-05,4.85361274895999e-05,0.0001182538862247,2.62573476019955e-08,5.44397182584465e-07,3.38712356393864e-07,3.52880167986565e-05,2.30691105847917e-07,-4.54523955086643e-08,1.36194886974874e-07,8.40809196548329e-08,3.58877250332538e-05,-1.63831174425842e-07,-2.34711155575909e-07,6.22804330920176e-08,-7.04945263607e-08,-8.42177379903494e-08,3.76862980317045e-05,-0.0028937129782585
